Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s),Event
1284.70620536053,1870.93051135153,-3085.81933081167,5409.92848186087,1.89103303300678,-6.33217135144581,-4.37492195959925,general_trajectory
1285.70620536053,1872.82047541581,-3092.15033284311,5405.54941482716,1.88889451260887,-6.32983135526453,-4.38321174030415,general_trajectory
1286.4571882315,1874.23839906356,-3096.90326619547,5402.25536074205,1.88728622102278,-6.32806870850791,-4.38943577071133,general_trajectory
1286.4571882315,1874.23839794562,-3096.9032651915,5402.25535492976,1.88728622164438,-6.32806871238545,-4.3894357770326,general_trajectory
1286.4571882315,1874.23839794562,-3096.9032651915,5402.25535492976,1.88728622164438,-6.32806871238545,-4.3894357770326,general_trajectory
1286.4571882315,1874.23988247413,-3096.90684054033,5402.25611318586,1.88729452257525,-6.3280896594675,-4.38943347246738,general_trajectory
1287.4571882315,1876.12582336328,-3103.23269279351,5397.8627682552,1.884586779523,-6.32361328758786,-4.39725539285302,general_trajectory
1288.4571882315,1878.00905508144,-3109.55406399791,5393.46160439433,1.88187618125423,-6.31912756292573,-4.4050713307418,general_trajectory
1289.4571882315,1879.88957477537,-3115.87094480381,5389.05262759212,1.87916273170108,-6.31463249153117,-4.41288127335333,general_trajectory
1290.4571882315,1881.76737959573,-3122.18332586744,5384.63584385028,1.87644643480168,-6.31012807947221,-4.42068520791514,general_trajectory
1291.4571882315,1883.64246669717,-3128.49119785122,5380.21125918323,1.8737272945,-6.30561433283477,-4.42848312166293,general_trajectory
1292.4571882315,1885.51483323825,-3134.79455142361,5375.77887961815,1.87100531474593,-6.30109125772271,-4.43627500184046,general_trajectory
1293.4571882315,1887.38447638149,-3141.0933772592,5371.338711195,1.86828049949525,-6.29655886025779,-4.44406083569959,general_trajectory
1294.45718823151,1889.2513932934,-3147.38766603875,5366.89075996642,1.8655528527096,-6.29201714657967,-4.45184061050038,general_trajectory
1295.4571882315,1891.1155811444,-3153.67740844904,5362.43503199791,1.86282237835658,-6.28746612284599,-4.45961431351093,general_trajectory
1296.4571882315,1892.97703710891,-3159.96259518314,5357.97153336758,1.86008908040959,-6.28290579523221,-4.46738193200771,general_trajectory
1297.4571882315,1894.83575836534,-3166.24321694026,5353.50027016631,1.8573529628479,-6.2783361699317,-4.47514345327535,general_trajectory
1298.4571882315,1896.69174209606,-3172.51926442583,5349.02124849768,1.85461402965668,-6.27375725315573,-4.48289886460679,general_trajectory
1299.45718823151,1898.54498548745,-3178.79072835152,5344.53447447795,1.8518722848269,-6.26916905113341,-4.49064815330332,general_trajectory
1300.45718823151,1900.39548572984,-3185.05759943513,5340.03995423616,1.84912773235544,-6.26457157011181,-4.49839130667441,general_trajectory
1301.45718823151,1902.24324001761,-3191.31986840082,5335.53769391395,1.84638037624498,-6.25996481635577,-4.50612831203806,general_trajectory
1302.45718823151,1904.08824554912,-3197.57752597901,5331.02769966565,1.84363022050405,-6.25534879614803,-4.51385915672062,general_trajectory
1303.4571882315,1905.93049952675,-3203.83056290639,5326.5099776583,1.84087726914699,-6.25072351578917,-4.52158382805688,general_trajectory
1304.45718823151,1907.76999915689,-3210.07896992601,5321.98453407152,1.83812152619396,-6.24608898159761,-4.52930231339013,general_trajectory
1305.45718823151,1909.60674164995,-3216.32273778712,5317.45137509771,1.83536299567098,-6.24144519990966,-4.53701460007203,general_trajectory
1306.45718823151,1911.44072422038,-3222.56185724544,5312.91050694181,1.83260168160982,-6.2367921770794,-4.54472067546293,general_trajectory
1307.45718823151,1913.27194408667,-3228.79631906301,5308.36193582143,1.82983758804809,-6.23212991947874,-4.55242052693165,general_trajectory
1308.45718823151,1915.10039847133,-3235.02611400826,5303.80566796681,1.82707071902917,-6.22745843349744,-4.56011414185563,general_trajectory
1309.45718823151,1916.92608460093,-3241.25123285604,5299.24170962076,1.82430107860221,-6.22277772554301,-4.56780150762099,general_trajectory
